Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Line,O/U,DK,FD
4767,Draymond Green,24-304,F,1/2/2015,GSW,,TOR,W,1,40,6,12,0.500,4,6,0.667,2,6,0.33,2,2,1.00,3,8,11,13,2,2,2,4,16,23.4,-4.5,216.5,61.75,54.70
2765,DeAndre Jordan,26-266,C,4/13/2015,LAC,,DEN,W,1,36,8,12,0.667,8,12,0.667,0,0,,4,10,0.40,8,13,21,3,1,4,1,2,20,26,-18,214,61.75,58.70
634,Anthony Davis,21-242,F-C,11/8/2014,NOP,@,SAS,W,1,37,10,17,0.588,10,17,0.588,0,0,,7,8,0.88,2,9,11,1,4,6,4,2,27,26.9,7.5,195.5,61.75,57.70
94,Carmelo Anthony,30-212,F,12/27/2014,NYK,@,SAC,L,1,46,13,29,0.448,11,22,0.500,2,7,0.29,8,9,0.89,3,8,11,6,1,0,3,3,36,26,6,202.5,61.75,57.20
255,Victor Oladipo,22-306,G,3/6/2015,ORL,,SAC,W,1,40,14,24,0.583,12,21,0.571,2,3,0.67,2,2,1.00,1,2,3,10,5,0,3,2,32,30.3,3,201,61.75,57.60
25,Damian Lillard,24-157,G,12/19/2014,POR,@,SAS,W,1,53,16,29,0.552,12,20,0.600,4,9,0.44,7,8,0.88,0,3,3,6,2,1,4,2,43,31.7,4.5,197,61.75,57.60
84,LaMarcus Aldridge,29-195,F,1/30/2015,POR,@,ATL,L,1,38,15,24,0.625,13,21,0.619,2,3,0.67,5,5,1.00,1,10,11,2,2,1,1,4,37,31.4,5,203.5,61.75,58.20
2294,LeBron James,30-104,F-G,4/13/2015,CLE,,DET,W,1,32,7,17,0.412,4,13,0.308,3,4,0.75,4,6,0.67,3,7,10,11,2,1,1,0,21,24.7,-7.5,205,61.50,54.50
101,James Harden,25-090,G,11/24/2014,HOU,,NYK,W,1,40,11,22,0.500,4,10,0.400,7,12,0.58,7,7,1.00,1,5,6,6,3,1,5,2,36,29.3,-6,191,61.50,55.20
157,James Harden,25-095,G,11/29/2014,HOU,@,MIL,W,1,38,9,14,0.643,5,9,0.556,4,5,0.80,12,13,0.92,2,4,6,7,4,1,5,4,34,33,3.5,191.5,61.50,56.70
202,James Harden,25-213,G,3/27/2015,HOU,,MIN,W,1,37,9,19,0.474,3,7,0.429,6,12,0.50,9,10,0.90,1,3,4,8,5,0,3,4,33,30.5,-13.5,205.5,61.50,56.80
1166,James Harden,25-109,G,12/13/2014,HOU,,DEN,W,1,38,7,20,0.350,5,15,0.333,2,5,0.40,8,9,0.89,0,10,10,10,1,2,3,3,24,20.6,-6.5,206,61.50,54.00
1918,Elfrid Payton,21-026,G,3/20/2015,ORL,,POR,W,1,37,10,13,0.769,10,13,0.769,0,0,,2,2,1.00,5,5,10,10,4,0,1,2,22,31.1,8.5,200,61.50,56.00
54,Damian Lillard,24-174,G,1/5/2015,POR,,LAL,W,1,39,12,21,0.571,8,13,0.615,4,8,0.50,11,13,0.85,2,4,6,5,2,1,1,0,39,36.1,-12.5,209,61.50,58.70
466,LaMarcus Aldridge,29-223,F,2/27/2015,POR,,OKC,W,1,39,10,23,0.435,10,21,0.476,0,2,0.00,9,10,0.90,7,9,16,5,1,1,1,2,29,27.5,-6,206.5,61.50,58.70
792,Kenneth Faried,25-037,F,12/26/2014,DEN,,MIN,W,1,30,11,15,0.733,11,15,0.733,0,0,,4,5,0.80,12,13,25,3,0,0,4,5,26,27.9,-10,212.5,61.25,56.50
1901,Andre Drummond,21-213,C,3/11/2015,DET,@,GSW,L,1,34,11,23,0.478,11,23,0.478,0,0,,0,2,0.00,15,10,25,0,2,2,3,3,22,22.2,14,205,61.25,57.00
132,Stephen Curry,26-239,G,11/8/2014,GSW,@,HOU,W,1,40,13,19,0.684,7,10,0.700,6,9,0.67,2,2,1.00,1,8,9,5,4,0,5,2,34,30.7,-3.5,209,61.25,55.30
